,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,first_case,Start date,End date,Length (days),Level
99,Montenegro,291738,,"2,826                                ",,"288,328",,584,6,"464,588","4,500","2,751,774","4,382,155","627,950 ",Europe,2,222,0,,,930,17 March 2020,2020-03-24,2020-05-05,42,Municipality
100,Brunei ,288051,,225                                ,,"243,601",,"44,225",3,"646,679",505,"717,784","1,611,437","445,431 ",Asia,2,"1,980",1,,,"99,286",9 March 2020,Non-Lockdown,,,
101,Algeria,271795,,"6,881                                ",,"183,006",,"81,908",,"5,993",152,"230,960","5,093","45,350,148 ",Africa,167,"6,591",196,,,"1,806",25 February 2020,2020-03-23,2020-05-14,52,City
102,Nigeria,266675,,"3,155                                ",,"259,953",,"3,567",11,"1,230",15,"5,708,974","26,339","216,746,934 ",Africa,813,"68,700",38,,,16,27 February 2020,2020-03-30,2020-04-12,13,City
103,Zimbabwe,264776,,"5,689                                ",,"258,888",,199,12,"17,270",371,"2,525,756","164,744","15,331,428 ",Africa,58,"2,695",6,,,13,20 March 2020,2020-03-30,2020-05-02,33,National
104,Uzbekistan,253287,,"1,637                                ",,"241,486",,"10,164",23,"7,367",48,"1,377,915","40,077","34,382,084 ",Asia,136,"21,003",25,,,296,15 March 2020,Non-Lockdown,,,
105,Mozambique,233417,,"2,243                                ",,"228,805",,"2,369",11,"7,054",68,"1,371,127","41,437","33,089,461 ",Africa,142,"14,752",24,,,72,22 March 2020,Non-Lockdown,,,
106,Martinique,229900,,"1,100                                ",,N/A,N/A,N/A,12,"614,563","2,940","828,928","2,215,870","374,087 ",North America,2,340,0,,,"611,344",5 March 2020,Non-Lockdown,,,
107,Afghanistan,218100,,"7,902                                ",,"194,718",,"15,480",45,"5,352",194,"1,244,608","30,539","40,754,388 ",Asia,187,"5,157",33,,,380,24 February 2020,Non-Lockdown,,,
108,Laos,218092,1,758                                ,,N/A,N/A,N/A,,"29,153",101,"1,233,207","164,845","7,481,023 ",Asia,34,"9,869",6,0.1,,"28,027",24 March 2020,Non-Lockdown,,,
109,Iceland,209191,,229                                ,,N/A,N/A,N/A,2,"605,661",663,"1,996,384","5,780,036","345,393 ",Europe,2,"1,508",0,,,"385,871",28 February 2020,Non-Lockdown,,,
110,Kyrgyzstan,206888,,"2,991                                ",,"196,406",,"7,491",131,"30,749",445,"1,907,195","283,460","6,728,271 ",Asia,33,"2,250",4,,,"1,113",18 March 2020,Non-Lockdown,,,
111,Guadeloupe,202653,,"1,017                                ",,N/A,N/A,N/A,19,"506,894","2,544","938,039","2,346,306","399,794 ",North America,2,393,0,,,"498,722",13 March 2020,Non-Lockdown,,,
112,El Salvador,201785,,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,32,"1,549",3,,,"2,770",18 March 2020,2020-03-12,2020-04-02,21,National
113,Trinidad and Tobago,191496,,"4,390                                ",,"187,078",,28,8,"136,143","3,121","913,289","649,295","1,406,585 ",North America,7,320,2,,,20,12 March 2020,2020-03-17,2020-03-31,14,National
114,Maldives,186526,,314                                ,,"163,687",,"22,525",25,"344,790",580,"2,213,831","4,092,223","540,985 ",Asia,3,"1,723",0,,,"41,637",7 March 2020,Non-Lockdown,,,
115,Ghana,171657,,"1,462                                ",,"170,161",,34,2,"5,299",45,"2,536,496","78,298","32,395,450 ",Africa,189,"22,158",13,,,1,13 March 2020,2020-03-30,2020-04-12,13,Metropolitan area
116,Namibia,171222,,"4,090                                ",,"167,099",,33,,"65,008","1,553","1,062,663","403,460","2,633,874 ",Africa,15,644,2,,,13,14 March 2020,2020-03-27,2020-05-04,38,
117,Uganda,170671,,"3,632                                ",,"100,431",,"66,608",3,"3,524",75,"3,012,408","62,198","48,432,863 ",Africa,284,"13,335",16,,,"1,375",20 March 2020,Non-Lockdown,,,
118,Jamaica,154874,,"3,536                                ",,"102,899",,"48,439",,"51,882","1,185","1,183,986","396,633","2,985,094 ",North America,19,844,3,,,"16,227",10 March 2020,2020-04-15,2020-04-22,7,Parish
119,Cambodia,138736,,"3,056                                ",,"135,677",,3,,"8,081",178,"3,091,420","180,062","17,168,639 ",Asia,124,"5,618",6,,,0.2,27 January 2020,2021-04-15,2021-05-05,21,Municipality
120,Rwanda,133194,,"1,468                                ",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464 ",Africa,102,"9,265",2,,,6,14 March 2020,2020-03-21,2020-04-19,29,National
121,Cameroon,124983,,"1,971                                ",,"122,807",,205,13,"4,478",71,"1,751,774","62,762","27,911,548 ",Africa,223,"14,161",16,,,7,6 March 2020,Non-Lockdown,,,
122,Malta,118574,,835                                ,,"117,151",,588,4,"267,039","1,880","2,137,285","4,813,347","444,033 ",Europe,4,532,0,,,"1,324",7 March 2020,Non-Lockdown,,,
